,frac_genes,phage_tpm,Region,sample_type,tricho_tpm
SRR3924004,0.6666666666666666,7417.11927692459,South Pacific,Concentrated,165514.07826107685
SRR3924003,0.7037037037037037,1361.2425153286745,South Pacific,Concentrated,37754.979257785
SRR3924002,0.9629629629629629,2000.661883465095,South Pacific,Concentrated,128868.77165176203
SRR2975930,0.006172839506172839,1.5635508831301714,South Pacific,Whole seawater,4416.904993145163
SRR2975931,0.0,0.0,South Pacific,Whole seawater,1073.8492089729855
SRR2975929,0.0,0.0,South Pacific,Whole seawater,949.5052740482957
