gene,SS0124_S14,SS0126_S16,SS0122_S12,SS0127_S17,SS0123_S13,SS0125_S15
NODE_1_length_148236_cov_916.668891_88,6093,6277,4980,6449,22928,25213
NODE_1_length_148236_cov_916.668891_89,11422,6586,3813,12199,14727,14550
NODE_1_length_148236_cov_916.668891_90,5269,1326,820,3761,6088,13499
NODE_1_length_148236_cov_916.668891_91,3146,4161,3140,4005,11970,17564
NODE_1_length_148236_cov_916.668891_92,5389,18030,14238,6813,36896,48285
NODE_1_length_148236_cov_916.668891_93,20030,1285,724,25459,2416,3459
NODE_1_length_148236_cov_916.668891_94,3274,252,108,1662,337,344
NODE_1_length_148236_cov_916.668891_95,671,6,0,149,3,0
NODE_1_length_148236_cov_916.668891_96,8520,248,94,2828,585,791
NODE_1_length_148236_cov_916.668891_97,8271,241,150,10833,326,394
NODE_1_length_148236_cov_916.668891_98,2051,179,194,1584,172,161
NODE_1_length_148236_cov_916.668891_99,1718,30,4,1205,27,3
NODE_1_length_148236_cov_916.668891_100,11186,1893,931,7444,2199,2019
NODE_1_length_148236_cov_916.668891_101,389,6,0,184,4,2
NODE_1_length_148236_cov_916.668891_102,2257,1369,607,1852,1947,1391
NODE_1_length_148236_cov_916.668891_103,16853,3074,1005,20578,2441,3351
NODE_1_length_148236_cov_916.668891_104,23491,1460,641,22679,1960,2801
NODE_1_length_148236_cov_916.668891_105,10124,1039,448,11066,1138,1347
NODE_1_length_148236_cov_916.668891_106,27883,19,12,45986,8,31
NODE_1_length_148236_cov_916.668891_107,11554,1919,664,15587,1801,2315
NODE_1_length_148236_cov_916.668891_108,11894,594,316,5908,1077,1610
NODE_1_length_148236_cov_916.668891_109,42229,10,40,46914,9,14
NODE_1_length_148236_cov_916.668891_110,22146,9431,3949,31909,6727,5740
NODE_1_length_148236_cov_916.668891_111,8794,476,314,10955,709,815
NODE_1_length_148236_cov_916.668891_112,9252,12,14,12894,4,10
NODE_1_length_148236_cov_916.668891_113,27333,125,3,40999,192,304
NODE_1_length_148236_cov_916.668891_114,115358,15,26,174044,58,48
NODE_1_length_148236_cov_916.668891_115,831,8,0,462,0,0
NODE_1_length_148236_cov_916.668891_116,760,10,7,514,25,20
NODE_1_length_148236_cov_916.668891_117,1369,0,0,498,0,2
NODE_1_length_148236_cov_916.668891_118,279,0,0,16,0,0
NODE_2_length_141101_cov_626.108738_1,9270,136,157,3836,479,565
NODE_2_length_141101_cov_626.108738_2,4724,1479,471,1499,1086,1026
NODE_2_length_141101_cov_626.108738_3,901,0,0,328,0,0
NODE_2_length_141101_cov_626.108738_4,1625,114,44,1241,207,246
NODE_2_length_141101_cov_626.108738_5,13503,1643,480,11444,1645,1579
NODE_2_length_141101_cov_626.108738_6,9098,127,114,7225,195,151
NODE_2_length_141101_cov_626.108738_7,7724,1923,839,4852,1457,1102
NODE_2_length_141101_cov_626.108738_8,5624,890,262,3953,962,580
NODE_2_length_141101_cov_626.108738_9,8468,1052,291,5558,1025,537
NODE_2_length_141101_cov_626.108738_10,10250,3351,1170,14314,2766,3713
NODE_2_length_141101_cov_626.108738_11,10811,3002,1118,12607,3511,5165
NODE_2_length_141101_cov_626.108738_12,16054,3922,1408,16238,4293,6489
NODE_2_length_141101_cov_626.108738_13,5975,0,0,6549,0,0
NODE_2_length_141101_cov_626.108738_14,14640,9881,3869,24890,5301,6659
NODE_2_length_141101_cov_626.108738_15,12436,5010,1682,19117,4232,4342
NODE_2_length_141101_cov_626.108738_16,22451,4497,2061,31632,4562,5242
NODE_2_length_141101_cov_626.108738_17,50622,2979,934,78326,3741,5571
NODE_2_length_141101_cov_626.108738_18,2518,420,115,2823,762,1831
NODE_2_length_141101_cov_626.108738_19,19951,2023,525,19928,2226,3837
NODE_2_length_141101_cov_626.108738_20,1353,16,0,342,0,0
NODE_2_length_141101_cov_626.108738_21,1719,4,0,567,8,4
NODE_2_length_141101_cov_626.108738_22,5200,483,154,4403,721,1306
NODE_2_length_141101_cov_626.108738_23,1227,465,126,1274,560,730
NODE_2_length_141101_cov_626.108738_24,49725,4652,1881,48648,4162,4032
NODE_2_length_141101_cov_626.108738_25,10003,862,260,6921,752,633
NODE_2_length_141101_cov_626.108738_26,1093,64,48,693,65,54
NODE_2_length_141101_cov_626.108738_27,411,160,104,253,456,361
NODE_2_length_141101_cov_626.108738_28,16976,6454,2665,24192,7659,8641
NODE_2_length_141101_cov_626.108738_29,5652,2958,1467,6397,1463,2387
NODE_2_length_141101_cov_626.108738_30,7533,239,66,9668,238,306
NODE_2_length_141101_cov_626.108738_31,22475,25,11,23518,32,52
NODE_2_length_141101_cov_626.108738_32,2144,8,10,2033,4,4
NODE_2_length_141101_cov_626.108738_33,3531,2,8,2653,0,3
NODE_2_length_141101_cov_626.108738_34,912,0,6,743,0,0
NODE_2_length_141101_cov_626.108738_35,2956,714,530,3064,958,942
NODE_2_length_141101_cov_626.108738_36,1004,0,0,872,0,0
NODE_2_length_141101_cov_626.108738_37,1290,0,0,890,10,6
NODE_2_length_141101_cov_626.108738_38,3323,6840,2584,1805,3884,2624
NODE_2_length_141101_cov_626.108738_39,11783,2396,863,17950,4109,6074
NODE_2_length_141101_cov_626.108738_40,102751,14543,6974,159688,16779,18018
NODE_2_length_141101_cov_626.108738_41,1332,68,10,1171,132,264
NODE_2_length_141101_cov_626.108738_42,1638,417,149,1579,971,1947
NODE_2_length_141101_cov_626.108738_43,12557,5882,3611,15875,8904,12683
NODE_2_length_141101_cov_626.108738_44,2982,575,290,2504,1441,2318
NODE_2_length_141101_cov_626.108738_45,3063,1844,597,2990,3290,5439
NODE_2_length_141101_cov_626.108738_46,2874,0,0,3993,0,2
NODE_2_length_141101_cov_626.108738_47,15921,2056,734,25608,3978,6449
NODE_2_length_141101_cov_626.108738_48,19038,20943,11355,25753,19122,22884
NODE_2_length_141101_cov_626.108738_49,8413,5397,3929,10829,7370,14137
NODE_2_length_141101_cov_626.108738_50,7618,2201,799,11115,1005,2141
NODE_2_length_141101_cov_626.108738_51,3809,838,660,3172,1514,3829
NODE_2_length_141101_cov_626.108738_52,9938,1199,371,7391,1219,2569
NODE_2_length_141101_cov_626.108738_53,20324,4514,1771,25802,4396,4726
NODE_2_length_141101_cov_626.108738_54,2012,175,41,1117,202,197
NODE_2_length_141101_cov_626.108738_55,4241,220,100,2125,147,176
NODE_2_length_141101_cov_626.108738_56,5311,329,76,3047,136,63
NODE_2_length_141101_cov_626.108738_57,4081,140,44,2689,194,162
NODE_2_length_141101_cov_626.108738_58,7787,2465,1466,5200,1490,1339
