gene,SS0124_S14,SS0126_S16,SS0122_S12,SS0127_S17,SS0123_S13,SS0125_S15
NODE_1_length_148236_cov_916.668891_1,147.2770631041002,40.171835965979575,29.05159895068709,79.60392663090629,26.755262607327438,22.341092252322213
NODE_1_length_148236_cov_916.668891_2,130.71557075558232,17.59796560940783,10.26441645848014,42.744063689686364,22.103530835458375,28.092569766830465
NODE_1_length_148236_cov_916.668891_3,2199.1333870112767,2239.5375325240884,2069.139329910755,2595.5263594604726,1508.9888763843999,1428.5503702631715
NODE_1_length_148236_cov_916.668891_4,484.6614460192176,25.857828543766598,32.340459209255435,413.36994450101076,52.79582447902296,51.37503944063854
NODE_1_length_148236_cov_916.668891_5,164.43613578527197,122.87360438878333,98.92375758125193,77.54396393882271,51.202540783550276,42.48588051207125
NODE_1_length_148236_cov_916.668891_6,227.10841698322776,83.15232804886386,125.06080389870644,114.84908475023515,147.06139857009822,128.68911633366508
NODE_1_length_148236_cov_916.668891_7,269.5301397699768,39.293812805113205,43.60511354056913,85.73280976338782,72.10959706583444,77.90669325359582
NODE_1_length_148236_cov_916.668891_8,279.27418281313163,0.0,0.0,148.6406506936659,0.0,0.0
NODE_1_length_148236_cov_916.668891_9,235.54287666719935,111.82744981455183,32.4908799497636,131.51048784886615,163.21220203100455,179.1652635547811
NODE_1_length_148236_cov_916.668891_10,147.17930756072622,39.0460510056223,14.260359966285863,63.949291319868934,98.31617894334502,67.67632777631506
NODE_1_length_148236_cov_916.668891_11,158.24303730477095,66.02169805984981,51.50791672686907,54.87572458866079,54.89460846241362,67.2125981556337
NODE_1_length_148236_cov_916.668891_12,190.66502402915444,313.37822848446996,210.57005617635087,117.95388474253753,380.41536439254315,375.1802571402464
NODE_1_length_148236_cov_916.668891_13,231.25862155754055,28.582470564488595,48.759461577031274,153.5953390501214,106.29902947118012,102.59795452889409
NODE_1_length_148236_cov_916.668891_14,108.09310023875958,0.0,0.0,28.09359377371692,3.201407119484169,1.9855944156844294
NODE_1_length_148236_cov_916.668891_15,793.8182051563289,0.0,0.0,229.67527334597594,5.804420384859148,14.400198753001096
NODE_1_length_148236_cov_916.668891_16,574.7730952576272,7.166289630440727,4.241371699574484,98.0107751386285,10.181524281638177,18.944523769317016
NODE_1_length_148236_cov_916.668891_17,420.43271251941803,55.54682691745373,46.297920552197255,396.9711212510535,55.2583730122493,69.94517591671519
NODE_1_length_148236_cov_916.668891_18,2155.9033177502374,1203.2894406568428,930.2538371499967,2396.5818933249816,887.4406690070971,822.7209102511193
NODE_1_length_148236_cov_916.668891_19,1613.0027202433835,378.7815547859391,327.1296711637775,1976.6439526072456,196.5918184319539,241.131469482211
NODE_1_length_148236_cov_916.668891_20,478.0688419023171,502.53823633353164,579.6667247417638,367.62316577317813,472.21662293761386,499.8311902186671
NODE_1_length_148236_cov_916.668891_21,235.95652661518622,56.81289540955898,44.36597292244428,116.62298947324926,78.4749254198466,60.66636078895757
NODE_1_length_148236_cov_916.668891_22,297.26111063590133,60.14392740178611,83.34722373392006,208.82847569490417,173.678126728168,296.0134815811962
NODE_1_length_148236_cov_916.668891_23,1277.3963952894892,479.350642245825,389.86981170881734,1617.0508183126242,465.8047358849466,562.5325917179898
NODE_1_length_148236_cov_916.668891_24,346.86295202681566,393.4546276907705,217.65166522289175,261.26460194025066,204.7453802383427,211.12643658404937
