Station,Latitude,Longitude,T,Sal,Si,NO3,Phos,Fe,SI_NO3,SI_T
131SUR,22.7598,-157.9568,26.24469948,35.12748718,1.68167603,0.01827612,0.072183676,5.76E-05,0.002092372,0.183141016
132DCM,31.5213,-158.9958,15.8199091,34.51980972,4.453567982,1.79033637,0.342452765,0.000893788,0.180884011,0.059453762
132SUR,31.5213,-158.9958,24.68699074,35.12511063,2.241695404,0.030741543,0.057674255,1.31E-05,0.033858346,0.601255407
133DCM,35.2698,-127.7268,16.41500092,33.08539963,1.832926273,0.147306561,0.42252934,0.000551582,0.069216522,0.249116204
133SUR,35.2698,-127.7268,17.77570915,33.06701279,1.040859938,0.020082925,0.367001981,6.05E-05,0.012420577,0.33760985
134SUR,32.7526,-122.0013,17.39500999,33.29768753,1.934068441,0.044377431,0.329002082,0.000156928,0.032600151,0.26348544
135DCM,32.931,-121.8645,16.52268982,33.32921219,2.327528477,0.469010502,0.361010075,0.000335331,0.09174306,0.19660685
135SUR,32.931,-121.8645,17.23209,33.33740997,1.937799811,0.024046648,0.318394333,0.000156928,0.046955374,0.255576846
136SUR,17.0854,-118.8913,25.74188995,34.4256897,3.837692738,0.41617769,0.198131979,4.19E-05,0.17239193,0.272212741
137DCM,14.2035,-116.6261,14.00109959,34.58288956,17.31067276,11.83734512,1.827113986,0.001032635,1,0.204551971
137SUR,14.2035,-116.6261,26.5180912,33.87131119,2.470750332,0.787764132,0.212715119,1.36E-05,0.13290946,0.177680876
138DCM,6.3332,-102.9432,18.35791016,34.66081238,14.89594841,18.38323593,2.024586678,0.001140628,0.548620995,0.355238371
138SUR,6.3332,-102.9432,26.75620079,33.53929901,5.415406227,3.552118063,0.293381244,1.10E-05,0.265792735,0.166140205
139SUR,6.4998,-94.9527,26.8257103,33.21118927,7.41468668,0.222630873,0.405450791,1.79E-05,0.163798155,0.190720802
140SUR,7.4122,-79.3017,27.40390015,28.8657093,7.054598808,0.11066822,0.26769194,0.001047994,0.243648537,0.304521181
141SUR,9.8481,-80.0454,28.25029945,35.24948883,4.641904831,9.865791321,0.013993236,0.001673423,0.225120784,0.182688618
142DCM,25.6236,-88.45,20.74509048,36.33758926,2.815927029,12.29631329,0.626799703,0.000481494,0.463872221,0.207956803
142SUR,25.6236,-88.45,24.06241035,36.34238815,2.778390408,1.137512088,0.130614907,0.001173611,0.296363684,0.484042876
143DCM,29.6394,-79.5395,23.88261032,36.40600967,3.459483385,1.052719712,0.74331367,0.000823365,0.17094767,0.370975256
143SUR,29.6394,-79.5395,23.9615097,36.25201035,1.177082658,0.572801828,0.126485929,0.001407765,0.022027057,0.407352904
144SUR,36.4121,-72.9289,18.62529945,35.85050964,1.6391536,1.208438754,0.236195505,0.001085566,0.129548299,0.802407843
145SUR,39.2305,-70.0377,10.36569977,34.03371048,4.569612503,4.048733711,0.554422557,0.000952388,0.208837308,1
146SUR,34.6712,-71.3093,19.70440865,36.56689835,1.23344028,0.405130565,0.106005035,0.001020379,0.051583708,0.621216947
147SUR,33.061,-66.5435,19.79040909,36.63521194,0.789859533,0.668011665,0.031464186,0.000800228,0.029397793,0.60129263
148SUR,31.6948,-64.2489,20.1158905,36.6619873,0.752712011,0.242606789,0.033107184,0.000665675,0.011639389,0.603000867
149SUR,34.0964,-49.8906,18.86190033,36.50601196,2.577942848,0.772685885,0.049567662,0.000374426,0.051577384,0.625616566
14SUR,39.91,12.8266,22.47500038,38.11551285,0.695302606,0.020996587,0.156397611,0.001773105,0.068827501,0.96673546
150DCM,35.9346,-37.3032,17.81580925,36.43041229,1.557720304,0.551202834,0.097910315,0.000327664,0.036816602,0.369008406
150SUR,35.9346,-37.3032,17.9126091,36.41781235,1.34579432,0.259098649,0.095099404,0.000205349,0.017495659,0.578792505
151DCM,36.1375,-28.935,16.81209946,36.2344017,2.227087021,0.980894685,0.210591257,0.000897093,0.135596341,0.163625878
151SUR,36.1375,-28.935,17.0632,36.2530098,3.145033598,0.630994201,0.196511969,0.000139181,0.044277327,0.522994103
152SUR,43.6792,-16.8344,13.40759087,35.83421326,3.398915768,4.832790852,0.282885551,0.000125313,0.285743756,0.464893142
155DCM,54.5305,-16.9377,11.15179062,35.45190048,2.233523607,7.106283188,0.395158827,0.000709569,0.382129666,0.254642635
155SUR,54.5305,-16.9377,11.52639008,35.44928741,1.441428185,5.376053333,0.273794174,0.000353884,0.529503195,0.300434685
158DCM,67.1675,0.2177,8.065490723,35.20388794,4.630064011,6.107568741,0.483479172,0.000769297,0.487312997,0.363185756
158SUR,67.1675,0.2177,8.592809677,35.19878769,4.216216564,4.494852066,0.403625071,0.00048892,0.539932378,0.402990718
163SUR,76.102,2.0707,2.931099892,34.91571045,4.349549294,6.758829117,0.460692823,0.000651983,0.490822107,0.397736061
168DCM,72.5491,44.0681,2.638109922,34.91950989,1.851738453,1.320992112,0.364904433,0.001170338,0.28738629,0.329041106
168SUR,72.5491,44.0681,5.583089828,34.91798782,1.610852718,0.34188813,0.248203635,0.00085962,0.314711519,0.446538769
16DCM,37.4956,15.4945,16.02249622,38.02051926,0.385607961,0.182215425,0.016339207,0.001142226,0.143868207,0.301802195
16SUR,37.4956,15.4945,23.27263985,38.17850113,0.963538682,0.113711376,0.099194437,0.001777431,0.143868207,0.301802195
173DCM,78.9564,79.4201,-1.386810064,33.81711197,2.272892475,3.768729687,0.63113898,0.001262548,0.371333887,0.108426097
173SUR,78.9564,79.4201,0.575110018,30.38969994,1.501431942,0.046328001,0.441954434,0.001445639,0.288147346,0.270115026
175DCM,79.2026,66.4827,-0.527209997,34.00048828,0.138893962,0.713265121,0.346034199,0.001070176,0.338066402,0.20499691
175SUR,79.2026,66.4827,-0.527209997,34.00048828,0.138893962,0.713265121,0.346034199,0.001070176,0.338066402,0.20499691
178SUR,77.1604,73.2057,0.653289974,29.20009041,5.264520168,0.624402046,0.600250661,0.001421913,0.368417983,0.321191563
17DCM,36.2678,14.3055,15.3050909,38.21199036,0.805015385,0.499382406,0.018451218,0.001074596,0.081155263,0.090869187
17SUR,36.2678,14.3055,23.00229836,37.95249939,1.364320874,0,0.183357269,0.001831233,0.163020426,0.818210601
180DCM,74.8283,76.2096,-1.111809969,32.79088974,16.44312286,7.282222271,0.826746106,0.001564501,0.537129716,0.207181989
180SUR,74.8283,76.2096,2.456010103,16.91290092,42.97304535,3.346680641,0.706857264,0.003220827,0.52202846,0.488924989
188DCM,78.2518,91.8557,0.480810016,31.99319077,0,0.47976613,0.129253075,0.00202575,0.32475059,0.170343134
