,Trichodesmium thiebautii Atlantic-pop,Trichodesmium thiebautii Indian-pop,Trichodesmium erythraeum,Trichodesmium miru,Trichodesmium nobis
66SUR1SSUU11,0,0,0,11.60930251,1.716096
24SUR1SSUU11,0,0,0,0,1.555352332
18SUR1SSUU11,0,0,0,0,1.427567015
23SUR1MMQQ11,0,0,0,0,1.424698933
23DCM1SSUU11,0,0,0,0,1.371942625
12DCM1QQSS11,0,0,0,0,1.1024577
18SUR1MMQQ11,0,0,0,0,1.058600639
25DCM1SSUU11,0,0,0,0,1.024232829
42SUR1SSUU11,0,0,0,0,1.016759429
25SUR1SSUU11,0,0,0,0,1.010187425
68SUR1SSUU11,0,0,0,7.228163789,0.885991307
22DCM01SSUU11,0,0,0,0,0.754157899
22DCM1MMQQ11,0,0,0,0,0.7444392
10SUR1QQSS11,0,0,0,0,0.668984076
10SUR1SSUU11,0,0,0,0,0.52435083
34DCM1MMQQ11,0,0,0,0,0.479526816
26SUR1QQSS11,0,0,0,0,0.469890062
18DCM1MMQQ11,0,0,0,0,0.379389803
10DCM1QQSS11,0,0,0,0.412510293,0.358493782
25SUR1QQSS11,0,0,0,0,0.341252516
133DCM1SSUU11,0,0,0,13.76061502,0
81SUR01SSUU11,0,0,0,12.28182957,0
68DCM1SSUU11,0,0,0,3.772970789,0
125SUR1QQSS11,0,0,0,3.231686954,0
152SUR1SSUU11,0,0,0,3.186845673,0
135SUR1MMQQ11,0,0,0,2.884494169,0
145SUR1SSUU11,0,0,0,2.393359583,0
135DCM1MMQQ11,0,0,0,2.36403674,0
135DCM1SSUU11,0,0,0,1.878246984,0
109SUR1QQSS11,0,0,0,1.825075141,0
134SUR1SSUU11,0,0,0,1.780455026,0
102SUR1QQSS11,0,0,0,1.779164894,0
135SUR1SSUU11,0,0,0,1.63962797,0
128SUR1QQSS11,0,0,0,1.403865676,0
106SUR1QQSS11,0,0,0,1.378855558,0
109SUR1MMQQ11,0,0,0,1.177558202,0
106DCM1QQSS11,0,0,0,1.128791235,0
127SUR1QQSS11,0,0,0,1.12200883,0
81DCM01SSUU11,0,0,0,1.108536173,0
102DCM1QQSS11,0,0,0,1.014725191,0
129DCM1QQSS11,0,0,0,0.988609246,0
81DCM1QQSS11,0,0,0,0.946514102,0
109DCM1QQSS11,0,0,0,0.911551541,0
80DCM1SSUU11,0,0,0,0.895498621,0
102DCM1MMQQ11,0,0,0,0.857458176,0
139SUR1MMQQ11,0,0,0,0.81156636,0
155SUR1SSUU11,0,0,0,0.752423051,0
66SUR1QQSS11,0,0,0,0.719838018,0
129SUR1MMQQ11,0,0,0,0.612314783,0
100SUR1SSUU11,0,0,0,0.550609642,0
139SUR1QQSS11,0,0,0,0.538445547,0
138SUR1QQSS11,0,0,0,0.526686921,0
106SUR1MMQQ11,0,0,0,0.524069797,0
109DCM1MMQQ11,0,0,0,0.485476438,0
149SUR1QQSS11,0,0,0,0.455305794,0
135SUR1QQSS11,0,0,0,0.439068569,0
66DCM1GGMM11,0,0,0,0.399037636,0
102DCM1GGZZ11,0,0,0,0.381805167,0
106SUR1SSUU11,0,0,0,0.377252846,0
100DCM0CCKK11,0,0,0,0,0
100DCM1GGMM11,0,0,0,0,0
100DCM1GGZZ11,0,0,0,0,0
100DCM1QQSS11,0,0,0,0,0
100DCM1SSUU11,0,0,0,0,0
100SUR0CCKK11,0,0,0,0,0
100SUR1GGMM11,0,0,0,0,0
100SUR1GGZZ11,0,0,0,0,0
100SUR1MMQQ11,0,0,0,0,0
100SUR1QQSS11,0,0,0,0,0
102DCM0CCKK11,0,0,0,0,0
102DCM1GGMM11,0,0,0,0,0
102SUR0CCKK11,0,0,0,0,0
102SUR1GGMM11,0,0,0,0,0
102SUR1GGZZ11,0,0,0,0,0
102SUR1SSUU11,0,0,0,0,0
106DCM1GGMM11,0,0,0,0,0
106DCM1GGZZ11,0,0,0,0,0
106DCM1MMQQ11,0,0,0,0,0
106DCM1SSUU11,0,0,0,0,0
106SUR1GGMM11,0,0,0,0,0
106SUR1GGZZ11,0,0,0,0,0
109DCM01QQSS11,0,0,0,0,0
109DCM0CCKK11,0,0,0,0,0
109DCM1GGMM11,0,0,0,0,0
109DCM1GGZZ11,0,0,0,0,0
109SUR0CCKK11,0,0,0,0,0
109SUR1GGMM11,0,0,0,0,0
109SUR1GGZZ11,0,0,0,0,0
109SUR1SSUU11,0,0,0,0,0
10DCM1GGMM11,0,0,0,0,0
10DCM1SSUU11,0,0,0,0,0
10SUR1GGMM11,0,0,0,0,0
110DCM0CCKK11,0,0,0,0,0
110DCM1GGMM11,0,0,0,0,0
110DCM1GGZZ11,0,0,0,0,0
110DCM1MMQQ11,0,0,0,0,0
110DCM1SSUU11,0,0,0,0,0
110SUR0CCKK11,0,0,0,0,0
110SUR1GGMM11,0,0,0,0,0
110SUR1GGZZ11,0,0,0,0,0
110SUR1MMQQ11,0,0,0,0,0
110SUR1QQSS11,0,0,0,0,0
110SUR1SSUU11,0,0,0,0,0
111DCM0CCKK11,0,0,0,0,0
111DCM1GGMM11,0,0,0,0,0
111DCM1GGZZ11,0,0,0,0,0
111DCM1MMQQ11,0,0,0,0,0
111DCM1QQSS11,0,0,0,0,0
111DCM1SSUU11,0,0,0,0,0
111SUR0CCKK11,0,0,0,0,0
111SUR1GGMM11,0,0,0,0,0
111SUR1GGZZ11,0,0,0,0,0
111SUR1MMQQ11,0,0,0,0,0
111SUR1SSUU11,0,0,0,0,0
111SUR2QQSS11,0,0,0,0,0
112DCM0CCKK11,0,0,0,0,0
112DCM1GGMM11,0,0,0,0,0
112DCM1QQSS11,0,0,0,0,0
112DCM1SSUU11,0,0,0,0,0
112SUR0CCKK11,0,0,0,0,0
112SUR1GGMM11,0,0,0,0,0
112SUR1MMQQ11,0,0,0,0,0
112SUR1QQSS11,0,0,0,0,0
112SUR1SSUU11,0,0,0,0,0
113SUR1GGMM11,0,0,0,0,0
113SUR1GGZZ11,0,0,0,0,0
113SUR1QQSS11,0,0,0,0,0
113SUR1SSUU11,0,0,0,0,0
114SUR1GGZZ11,0,0,0,0,0
114SUR1QQSS11,0,0,0,0,0
114SUR1SSUU11,0,0,0,0,0
115SUR1GGZZ11,0,0,0,0,0
115SUR1QQSS11,0,0,0,0,0
115SUR1SSUU11,0,0,0,0,0
116SUR1GGZZ11,0,0,0,0,0
116SUR1QQSS11,0,0,0,0,0
116SUR1SSUU11,0,0,0,0,0
117SUR1GGZZ11,0,0,0,0,0
117SUR1QQSS11,0,0,0,0,0
117SUR1SSUU11,0,0,0,0,0
118SUR1GGZZ11,0,0,0,0,0
118SUR1QQSS11,0,0,0,0,0
118SUR1SSUU11,0,0,0,0,0
119SUR1GGZZ11,0,0,0,0,0
119SUR1QQSS11,0,0,0,0,0
119SUR1SSUU11,0,0,0,0,0
11SUR01GGZZ11,0,0,0,0,0
11SUR1QQSS11,0,0,0,0,0
11SUR1SSUU11,0,0,0,0,0
120SUR1QQSS11,0,0,0,0,0
120SUR1SSUU11,0,0,0,0,0
120SUR2GGZZ11,0,0,0,0,0
121SUR1GGZZ11,0,0,0,0,0
121SUR1QQSS11,0,0,0,0,0
121SUR1SSUU11,0,0,0,0,0
122DCM0CCKK11,0,0,0,0,0
122DCM1GGMM11,0,0,0,0,0
122DCM1GGZZ11,0,0,0,0,0
122DCM1MMQQ11,0,0,0,0,0
122DCM1QQSS11,0,0,0,0,0
122DCM1SSUU11,0,0,0,0,0
122SUR0CCKK11,0,0,0,0,0
122SUR1GGMM11,0,0,0,0,0
122SUR1GGZZ11,0,0,0,0,0
122SUR1MMQQ11,0,0,0,0,0
122SUR1QQSS11,0,0,0,0,0
122SUR1SSUU11,0,0,0,0,0
123SUR0CCKK11,0,0,0,0,0
123SUR1GGMM11,0,0,0,0,0
123SUR1GGZZ11,0,0,0,0,0
123SUR1MMQQ11,0,0,0,0,0
123SUR1QQSS11,0,0,0,0,0
123SUR1SSUU11,0,0,0,0,0
124SUR0CCKK11,0,0,0,0,0
124SUR1CCKK11,0,0,0,0,0
124SUR1GGMM11,0,0,0,0,0
124SUR1GGZZ11,0,0,0,0,0
124SUR1KKQQ11,0,0,0,0,0
124SUR1MMQQ11,0,0,0,0,0
124SUR1QQSS11,0,0,0,0,0
124SUR1SSUU11,0,0,0,0,0
125SUR0CCKK11,0,0,0,0,0
125SUR1GGMM11,0,0,0,0,0
125SUR1GGZZ11,0,0,0,0,0
125SUR1MMQQ11,0,0,0,0,0
125SUR1SSUU11,0,0,0,0,0
126SUR1GGMM11,0,0,0,0,0
126SUR1GGZZ11,0,0,0,0,0
126SUR1MMQQ11,0,0,0,0,0
126SUR1QQSS11,0,0,0,0,0
126SUR1SSUU11,0,0,0,0,0
127DCM1GGMM11,0,0,0,0,0
127DCM1GGZZ11,0,0,0,0,0
127DCM1MMQQ11,0,0,0,0,0
127DCM1QQSS11,0,0,0,0,0
127DCM1SSUU11,0,0,0,0,0
127SUR1GGMM11,0,0,0,0,0
127SUR1GGZZ11,0,0,0,0,0
127SUR1MMQQ11,0,0,0,0,0
127SUR1SSUU11,0,0,0,0,0
128DCM0CCKK11,0,0,0,0,0
128DCM1GGMM11,0,0,0,0,0
128DCM1GGZZ11,0,0,0,0,0
128DCM1MMQQ11,0,0,0,0,0
128DCM1QQSS11,0,0,0,0,0
128DCM1SSUU11,0,0,0,0,0
128SUR0CCKK11,0,0,0,0,0
128SUR1GGMM11,0,0,0,0,0
128SUR1GGZZ11,0,0,0,0,0
128SUR1MMQQ11,0,0,0,0,0
128SUR1SSUU11,0,0,0,0,0
129DCM1GGMM11,0,0,0,0,0
129DCM1GGZZ11,0,0,0,0,0
129DCM1MMQQ11,0,0,0,0,0
129DCM1SSUU11,0,0,0,0,0
129SUR1GGMM11,0,0,0,0,0
129SUR1GGZZ11,0,0,0,0,0
129SUR1SSUU11,0,0,0,0,0
130SUR1GGMM11,0,0,0,0,0
130SUR1GGZZ11,0,0,0,0,0
130SUR1QQSS11,0,0,0,0,0
130SUR1SSUU11,0,0,0,0,0
131DCM1GGMM11,0,0,0,0,0
131DCM1GGZZ11,0,0,0,0,0
132DCM0CCKK11,0,0,0,0,0
132DCM1GGMM11,0,0,0,0,0
132DCM1GGZZ11,0,0,0,0,0
132DCM1SSUU11,0,0,0,0,0
132SUR0CCKK11,0,0,0,0,0
132SUR1GGMM11,0,0,0,0,0
133DCM0CCKK11,0,0,0,0,0
133DCM1GGMM11,0,0,0,0,0
133DCM1GGZZ11,0,0,0,0,0
133DCM1MMQQ11,0,0,0,0,0
133DCM1QQSS11,0,0,0,0,0
133SUR0CCKK11,0,0,0,0,0
133SUR1GGMM11,0,0,0,0,0
133SUR1GGZZ11,0,0,0,0,0
133SUR1MMQQ11,0,0,0,0,0
133SUR1QQSS11,0,0,0,0,0
133SUR1SSUU11,0,0,0,0,0
134SUR1GGMM11,0,0,0,0,0
134SUR1GGZZ11,0,0,0,0,0
135DCM1GGMM11,0,0,0,0,0
135DCM1GGZZ11,0,0,0,0,0
135DCM1QQSS11,0,0,0,0,0
135SUR1GGMM11,0,0,0,0,0
135SUR1GGZZ11,0,0,0,0,0
136SUR1GGMM11,0,0,0,0,0
136SUR1GGZZ11,0,0,0,0,0
136SUR1MMQQ11,0,0,0,0,0
136SUR1SSUU11,0,0,0,0,0
137DCM0CCKK11,0,0,0,0,0
137DCM1GGMM11,0,0,0,0,0
137DCM1GGZZ11,0,0,0,0,0
137DCM1MMQQ11,0,0,0,0,0
137DCM1QQSS11,0,0,0,0,0
137DCM1SSUU11,0,0,0,0,0
137SUR0CCKK11,0,0,0,0,0
137SUR1GGMM11,0,0,0,0,0
137SUR1GGZZ11,0,0,0,0,0
137SUR1MMQQ11,0,0,0,0,0
137SUR1QQSS11,0,0,0,0,0
137SUR1SSUU11,0,0,0,0,0
138DCM0CCKK11,0,0,0,0,0
138DCM1GGMM11,0,0,0,0,0
138DCM1GGZZ11,0,0,0,0,0
138DCM1MMQQ11,0,0,0,0,0
138DCM1QQSS11,0,0,0,0,0
138DCM1SSUU11,0,0,0,0,0
138SUR0CCKK11,0,0,0,0,0
138SUR1GGMM11,0,0,0,0,0
138SUR1GGZZ11,0,0,0,0,0
138SUR1SSUU11,0,0,0,0,0
139SUR1GGMM11,0,0,0,0,0
139SUR1GGZZ11,0,0,0,0,0
139SUR2SSUU11,0,0,0,0,0
140SUR0CCKK11,0,0,0,0,0
140SUR1GGMM11,0,0,0,0,0
140SUR1SSUU11,0,0,0,0,0
141SUR1GGMM11,0,0,0,0,0
142DCM0CCKK11,0,0,0,0,0
142DCM1GGMM11,0,0,0,0,0
142DCM1QQSS11,0,0,0,0,0
142DCM1SSUU11,0,0,0,0,0
142SUR0CCKK11,0,0,0,0,0
142SUR1GGMM11,0,0,0,0,0
142SUR1GGZZ11,0,0,0,0,0
142SUR1QQSS11,0,0,0,0,0
142SUR1SSUU11,0,0,0,0,0
143DCM1GGMM11,0,0,0,0,0
143DCM1GGZZ11,0,0,0,0,0
143SUR1GGMM11,0,0,0,0,0
143SUR1SSUU11,0,0,0,0,0
145SUR0CCKK11,0,0,0,0,0
145SUR1GGMM11,0,0,0,0,0
145SUR1GGZZ11,0,0,0,0,0
145SUR1MMQQ11,0,0,0,0,0
145SUR1QQSS11,0,0,0,0,0
146SUR0CCKK11,0,0,0,0,0
146SUR1GGMM11,0,0,0,0,0
146SUR1GGZZ11,0,0,0,0,0
146SUR1MMQQ11,0,0,0,0,0
