cds_id,SS0122_S12,SS0126_S16,SS0123_S13,SS0125_S15,SS0124_S14,SS0127_S17
SHDOJQCQ_CDS_0001,0.14016889010835984,0.043761135031640176,0.4456978142882438,0.04559368465469647,34.04612993663605,16.048951013896794
SHDOJQCQ_CDS_0002,0.03184364237755842,0.20877523244303794,0.9112847805325551,0.01035799732520488,40.83284242052714,21.67861761284304
SHDOJQCQ_CDS_0003,0.022283769612684596,0.006957057662943506,0.007872905165252471,0.007248392734316543,26.949575405757145,13.49402567999009
SHDOJQCQ_CDS_0004,0.12815441381335754,1.1602952374103452,0.04527723827690095,0.20842827270718386,33.30086685799316,30.141237757713547
SHDOJQCQ_CDS_0005,0.12815441381335754,40.6903536705628,0.04527723827690095,0.5419135090386781,69.58957658252729,93.17827278702659
SHDOJQCQ_CDS_0006,0.10826838408369863,0.03380170430030138,0.49726897900665357,0.03521719090569659,55.85392904715941,59.20750318524018
SHDOJQCQ_CDS_0007,1.0995349512002077,0.800982020190021,0.04316312598381608,0.0397392426562335,92.6484943487263,125.28773029916223
SHDOJQCQ_CDS_0008,0.37467579217509067,0.11697487168362053,0.07942427239504105,0.1218733336831982,195.70338362707557,348.0577101200853
SHDOJQCQ_CDS_0009,0.3150284085378522,0.032784261695944485,0.482301016427858,0.3757285584922144,277.7185863706631,479.23896579879175
SHDOJQCQ_CDS_0010,0.07722586777579346,0.13432792538173177,0.3157156688703792,0.1758384689985764,261.28392867274823,409.20588616105
SHDOJQCQ_CDS_0011,0.18149035482238499,0.5099563481143734,0.06412094438058227,0.05903459747197694,466.13959878624246,478.5434758864188
SHDOJQCQ_CDS_0012,0.06855421699622838,0.14981978106902138,0.02422035672017627,0.20069185210451548,284.9914598285439,323.4635425133097
SHDOJQCQ_CDS_0013,0.08463027327297197,0.02642181737759407,0.029900063013047797,0.027528262433024284,136.9334023175104,193.90359887207669
SHDOJQCQ_CDS_0014,0.1926247324188503,0.10824840272857252,0.06805474464932965,0.06265635191811049,166.3930192294611,230.88479957524606
