,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq,CPM,Region,Source,Latitude,Longitude,Size_Categorie,station,Metagenome,depth,tricho_present,phage_present
ERR1726651,441,30281,20.2956,0.278887,37.5,59.3,0.22618780657949866,Indian,Tara,-21.5043,54.3563,Size_04,51SUR,51SUR1SSUU11,SUR,Tricho present,True
ERR4691852,6032,107921,72.3331,3.81698,38.1,59.1,5.877797907384206,Indian,Tara,-12.807,45.2247,Size_02,54SUR,54SUR2MMQQ11,SUR,Tricho present,True
ERR4691752,16977,127617,85.5342,10.6056,37.2,58.4,10.676055461109092,Indian,Tara,-13.0833,46.971,Size_02,53SUR,53SUR1MMQQ11,SUR,Tricho present,True
ERR1726644,27137,104924,70.3244,17.136,36.7,59.5,20.812898753769943,Indian,Tara,4.6599,73.4856,Size_03,43SUR,43SUR1QQSS11,SUR,Tricho present,True
ERR1726590,997,49388,33.1019,0.620101,37.6,59.0,0.5969252798542518,Indian,Tara,-17.4174,42.2547,Size_03,58DCM,58DCM1QQSS11,DCM,Tricho present,True
ERR4691751,4355,100071,67.0717,2.73405,37.4,59.1,6.198648382176093,Indian,Tara,-13.0833,46.971,Size_01,53SUR,53SUR1GGMM11,SUR,Tricho present,True
ERR1726844,1050,46829,31.3867,0.657406,36.6,59.3,0.4886518560099804,Indian,Tara,14.6059,69.9776,Size_03,41SUR,41SUR1QQSS11,SUR,Tricho present,True
ERR1726854,3482,97680,65.4692,2.17993,36.9,58.5,1.433528592420784,Indian,Tara,-21.5043,54.3563,Size_02,51SUR,51SUR1MMQQ11,SUR,Tricho present,True
ERR1726697,1729,70863,47.4953,1.07351,37.4,57.9,0.7065712523183417,Indian,Tara,-21.5043,54.3563,Size_02,51SUR,51SUR3MMQQ11,SUR,Tricho present,True
ERR4691756,130258,138893,93.0918,81.8276,37.9,59.0,103.05645286696021,Indian,Tara,-12.807,45.2247,Size_03,54SUR,54SUR1QQSS11,SUR,Tricho present,True
ERR4691755,7184,116010,77.7547,4.52971,37.7,59.1,7.8959944746687905,Indian,Tara,-12.807,45.2247,Size_01,54SUR,54SUR1GGMM11,SUR,Tricho present,True
ERR4691754,8558,116182,77.87,5.37935,37.2,58.7,2.52318083775506,Indian,Tara,-13.0833,46.971,Size_04,53SUR,53SUR1SSUU11,SUR,Tricho present,True
ERR1726621,1951,63476,42.5442,1.24038,37.4,59.8,0.7095145552260694,North Pacific,Tara,22.7598,-157.9568,Size_03,131SUR,131SUR1QQSS11,SUR,Tricho present,True
ERR1726640,1740,52555,35.2245,1.06987,37.7,59.4,0.9020592446781349,North Pacific,Tara,22.7598,-157.9568,Size_02,131SUR,131SUR1MMQQ11,SUR,Tricho present,True
ERR1726921,1996,80465,53.931,1.23715,37.6,58.6,0.8047170634569136,Indian,Tara,-21.5043,54.3563,Size_02,51SUR,51SUR2MMQQ11,SUR,Tricho present,True
ERR1726677,1749,65854,44.1381,1.10163,37.3,59.0,1.513353809313011,Indian,Tara,-17.4174,42.2547,Size_02,58SUR,58SUR1MMQQ11,SUR,Tricho present,True
ERR4691753,48108,136352,91.3887,30.2759,37.6,58.9,18.640899633164548,Indian,Tara,-13.0833,46.971,Size_03,53SUR,53SUR1QQSS11,SUR,Tricho present,True
ERR1726728,752,41220,27.6273,0.475141,37.3,59.6,0.24814681762308258,Indian,Tara,-17.4174,42.2547,Size_03,58SUR,58SUR1QQSS11,SUR,Tricho present,True
ERR1726914,593,34358,23.0282,0.380402,37.4,59.1,0.7864479576848592,North Pacific,Tara,22.7598,-157.9568,Size_All,131SUR,131SUR1GGZZ11,SUR,Tricho present,True
ERR4691757,578,35522,23.8083,0.360972,37.5,58.6,0.5670335828417009,Indian,Tara,-12.807,45.2247,Size_04,54SUR,54SUR1SSUU11,SUR,Tricho present,True
ERR4691848,2262,47789,32.0302,1.33847,37.8,58.8,1.1726096588681896,North Atlantic,Tara,9.8481,-80.0454,Size_03,141SUR,141SUR1QQSS11,SUR,Tricho present,True
7_7_17_slick_S282,487903,149184,99.9893,463.72,39.2,58.6,467.37134219281626,North Pacific,Picked Colony,24.97,-158.45,colony,,NA,SUR,Picked Colony,True
FischkornScope22March16_TAGCTT,35084,144833,97.0731,22.2545,35.7,58.7,6.104276643949649,North Pacific,Picked Colony,24.413,-156.312,colony,,NA,SUR,Picked Colony,True
SRR7822613,32058,95655,64.1119,15.9501,36.5,57.7,1000000.0,South Pacific,Picked Colony,-18.24,-170.0,colony,,NA,SUR,Picked Colony,True
SRR7822620,35338,124446,83.4088,19.6401,36.6,58.3,1000000.0,South Pacific,Picked Colony,-22.0,-170.0,colony,,NA,SUR,Picked Colony,True
SRR19658996,1684,45592,30.5576,1.31131,38.9,58.9,1000000.0,North Atlantic,Picked Colony,15.5,-61.0,colony,,NA,SUR,Picked Colony,True
SRR7822621,81737,136915,91.7661,47.1032,36.6,58.6,1000000.0,South Pacific,Picked Colony,-19.21,-164.69,colony,,NA,SUR,Picked Colony,True
